Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+-----------------
      0 | (441, 86)=43433 
      1 | (461, 79)=35534 
      2 | (282, 97)=33193 
      3 | (405,158)=31544 
      4 | (300, 97)=27684 
      5 | (541, 42)=26637 
      6 | (283,112)=26407 
      7 | (107, 96)=24778 
      8 | (266,112)=22701 
      9 | (569, 27)=22395 
     10 | (124, 92)=21441 
     11 | (354,167)=21280 
     12 | (474,154)=19508 
     13 | (304,164)=19120 
     14 | (435,188)=17959 
     15 | (406,193)=16635 
     16 | ( 97, 95)=16607 
     17 | (537,102)=16518 
     18 | (396,185)=14958 
     19 | (119, 81)=14948 
     20 | (183, 68)=14873 
     21 | ( 28, 98)=14779 
     22 | (118,111)=14720 
     23 | (188, 99)=14484 
     24 | (181, 54)=14323 
     25 | (613, 39)=13907 
     26 | (465,204)=13455 
     27 | (371,169)=13283 
     28 | (395,228)=13245 
     29 | (572, 79)=13179 
     30 | (440,142)=13157 
     31 | (229, 90)=12957 
     32 | (223,159)=12843 
     33 | (448,180)=12702 
     34 | (268,169)=12323 
     35 | (392,161)=12311 
     36 | (458,154)=11906 
     37 | (170,233)=11882 
     38 | (470,124)=11547 
     39 | (200,232)=11542 
     40 | (105,150)=11531 
     41 | (446,160)=11197 
     42 | (609,106)=10942 
     43 | (275,231)=10624 
     44 | (178, 92)=10621 
     45 | ( 75,225)=10572 
     46 | (166, 87)=10503 
     47 | ( 30,216)= 9995 
     48 | (557,142)= 9971 
     49 | (442,121)= 9962 
     50 | (183,222)= 9957 
     51 | (453,236)= 9760 
     52 | (495,156)= 9745 
     53 | (252,164)= 9559 
     54 | (493,169)= 9552 
     55 | (371,229)= 9523 
     56 | (494,135)= 9474 
     57 | (418,149)= 9405 
     58 | (547, 73)= 9367 
     59 | (180,233)= 9349 
     60 | (526,102)= 9095 
     61 | (389,208)= 9007 
     62 | (342,163)= 8823 
     63 | (307,227)= 8781 
     64 | (587,243)= 8720 
     65 | (422,159)= 8657 
     66 | (612, 25)= 8654 
     67 | (437,178)= 8648 
     68 | (202, 86)= 8540 
     69 | (109, 83)= 8330 
     70 | (187,134)= 8314 
     71 | (406,183)= 8298 
     72 | (401,205)= 8296 
     73 | (163,145)= 8248 
     74 | (461,139)= 8220 
     75 | (133,159)= 8095 
     76 | (526,422)= 7970 
     77 | (434,159)= 7952 
     78 | (382,162)= 7881 
     79 | (402,173)= 7846 
     80 | (398,218)= 7829 
     81 | (173,145)= 7814 
     82 | (194,222)= 7726 
     83 | (135,108)= 7630 
     84 | (445,193)= 7554 
     85 | (267,179)= 7543 
     86 | (219, 90)= 7508 
     87 | (526, 83)= 7445 
     88 | (493,123)= 7321 
     89 | (548, 63)= 7296 
     90 | ( 58, 98)= 7224 
     91 | (156,204)= 7093 
     92 | (206,179)= 6799 
     93 | (469,191)= 6717 
     94 | (429,143)= 6706 
     95 | (613, 73)= 6684 
     96 | (534, 26)= 6647 
     97 | ( 48, 98)= 6583 
     98 | (501,211)= 6546 
     99 | (146,164)= 6525 
