Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+---------------------
      0 | ( -1.0, -1.0)=   -5 
      1 | ( -1.0, -1.0)=   -5 
      2 | ( -1.0, -1.0)=   -5 
      3 | (390.2,187.6)=    0 
      4 | ( -1.0, -1.0)=   -5 
      5 | ( -1.0, -1.0)=   -5 
      6 | ( -1.0, -1.0)=   -5 
      7 | ( -1.0, -1.0)=   -5 
      8 | ( -1.0, -1.0)=   -5 
      9 | ( -1.0, -1.0)=   -5 
     10 | ( -1.0, -1.0)=   -5 
     11 | (347.0,196.0)=    0 
     12 | ( -1.0, -1.0)=   -5 
     13 | (297.0,193.4)=    0 
     14 | ( -1.0, -1.0)=   -5 
     15 | ( -1.0, -1.0)=   -5 
     16 | ( -1.0, -1.0)=   -5 
     17 | ( -1.0, -1.0)=   -5 
     18 | ( -1.0, -1.0)=   -5 
     19 | (120.9,109.3)=    0 
     20 | (185.6, 96.5)=    0 
     21 | ( -1.0, -1.0)=   -5 
     22 | ( -1.0, -1.0)=   -5 
     23 | ( -1.0, -1.0)=   -5 
     24 | (183.6, 82.5)=    0 
     25 | ( -1.0, -1.0)=   -5 
     26 | ( -1.0, -1.0)=   -5 
     27 | (362.8,197.9)=    0 
     28 | ( -1.0, -1.0)=   -5 
     29 | ( -1.0, -1.0)=   -4 
     30 | (437.1,178.6)=    0 
     31 | (231.0,118.9)=    0 
     32 | ( -1.0, -1.0)=   -5 
     33 | ( -1.0, -1.0)=   -5 
     34 | ( -1.0, -1.0)=   -5 
     35 | ( -1.0, -1.0)=   -5 
     36 | ( -1.0, -1.0)=   -5 
     37 | ( -1.0, -1.0)=   -5 
     38 | (468.0,157.1)=    0 
     39 | (211.2,262.3)=    0 
     40 | (113.3,179.4)=    0 
     41 | ( -1.0, -1.0)=   -5 
     42 | ( -1.0, -1.0)=   -5 
     43 | (292.3,260.4)=    0 
     44 | ( -1.0, -1.0)=   -5 
     45 | ( -1.0, -1.0)=   -5 
     46 | (169.5,115.6)=    0 
     47 | ( -1.0, -1.0)=   -5 
     48 | ( -1.0, -1.0)=   -5 
     49 | (440.4,149.4)=    0 
     50 | ( -1.0, -1.0)=   -5 
     51 | ( -1.0, -1.0)=   -5 
     52 | ( -1.0, -1.0)=   -5 
     53 | (247.0,193.6)=    0 
     54 | ( -1.0, -1.0)=   -5 
     55 | (363.0,257.6)=    0 
     56 | ( -1.0, -1.0)=   -5 
     57 | ( -1.0, -1.0)=   -5 
     58 | ( -1.0, -1.0)=   -5 
     59 | ( -1.0, -1.0)=   -5 
     60 | ( -1.0, -1.0)=   -5 
     61 | ( -1.0, -1.0)=   -5 
     62 | (333.5,192.5)=    0 
     63 | ( -1.0, -1.0)=   -5 
     64 | ( -1.0, -1.0)=   -4 
     65 | ( -1.0, -1.0)=   -5 
     66 | ( -1.0, -1.0)=   -5 
     67 | ( -1.0, -1.0)=   -5 
     68 | (205.2,114.7)=    0 
     69 | ( -1.0, -1.0)=   -5 
     70 | ( -1.0, -1.0)=   -5 
     71 | ( -1.0, -1.0)=   -5 
     72 | ( -1.0, -1.0)=   -5 
     73 | (171.7,174.2)=    0 
     74 | ( -1.0, -1.0)=   -5 
     75 | ( -1.0, -1.0)=   -5 
     76 | ( -1.0, -1.0)=   -5 
     77 | ( -1.0, -1.0)=   -5 
     78 | ( -1.0, -1.0)=   -5 
     79 | ( -1.0, -1.0)=   -5 
     80 | ( -1.0, -1.0)=   -5 
     81 | ( -1.0, -1.0)=   -5 
     82 | ( -1.0, -1.0)=   -5 
     83 | ( -1.0, -1.0)=   -5 
     84 | ( -1.0, -1.0)=   -5 
     85 | ( -1.0, -1.0)=   -5 
     86 | (221.8,119.1)=    0 
     87 | ( -1.0, -1.0)=   -5 
     88 | ( -1.0, -1.0)=   -5 
     89 | ( -1.0, -1.0)=   -5 
     90 | ( -1.0, -1.0)=   -5 
     91 | ( -1.0, -1.0)=   -5 
     92 | ( -1.0, -1.0)=   -5 
     93 | ( -1.0, -1.0)=   -5 
     94 | ( -1.0, -1.0)=   -5 
     95 | ( -1.0, -1.0)=   -5 
     96 | ( -1.0, -1.0)=   -5 
     97 | ( -1.0, -1.0)=   -5 
     98 | ( -1.0, -1.0)=   -5 
     99 | ( -1.0, -1.0)=   -5 
